x	I^2(x)
.280	.2039583006
.281	.2045343798
.282	.2051091682
.283	.2056826654
.284	.2062548692
.285	.2068257845
.286	.2073954088
.287	.2079637416
.288	.2085307855
.289	.2090965397
.290	.2096610045
.291	.2102241793
.292	.2107860677
.293	.2113466660
.294	.2119059775
.295	.2124640023
.296	.2130207402
.297	.2135761910
.298	.2141303553
.299	.2146832368
.300	.2152348328
.301	.2157851436
.302	.2163341742
.303	.2168819199
.304	.2174283852
.305	.2179735694
.306	.2185174713
.307	.2190600949
.308	.2196014403
.309	.2201415064
.310	.2206802975
.311	.2212178099
.312	.2217540492
.313	.2222890124
.314	.2228227007
.315	.2233551181
.316	.2238862635
.317	.2244161381
.318	.2249447423
.319	.2254720779
.320	.2259981455
.321	.2265229466
.322	.2270464825
.323	.2275687536
.324	.2280897615
.325	.2286095059
.326	.2291279902
.327	.2296452146
.328	.2301611795
.329	.2306758873
.330	.2311893384
.331	.2317015346
.332	.2322124766
.333	.2327221663
.334	.2332306049
.335	.2337377928
.336	.2342437327
.337	.2347484246
.338	.2352518707
.339	.2357540729
.340	.2362550311
.341	.2367547476
.342	.2372532240
.343	.2377504614
.344	.2382464608
.345	.2387412244
.346	.2392347543
.347	.2397270507
.348	.2402181156
.349	.2407079501
.350	.2411965570
.351	.2416839364
.352	.2421700909
.353	.2426550215
.354	.2431387302
.355	.2436212191
.356	.2441024881
.357	.2445825406
.358	.2450613771
.359	.2455390008
.360	.2460154111
.361	.2464906117
.362	.2469646031
.363	.2474373880
.364	.2479089673
.365	.2483793440
.366	.2488485182
.367	.2493164924
.368	.2497832691
.369	.2502488483
.370	.2507132334
.371	.2511764257
.372	.2516384280
.373	.2520992411
.374	.2525588657
.375	.2530173060
.376	.2534745632
.377	.2539306375
.378	.2543855333
.379	.2548392514
.380	.2552917930
.381	.2557431610
.382	.2561933574
.383	.2566423826
.384	.2570902406
.385	.2575369331
.386	.2579824610
.387	.2584268265
.388	.2588700311
.389	.2593120798
.390	.2597529709
.391	.2601927076
.392	.2606312932
.393	.2610687284
.394	.2615050158
.395	.2619401569
.396	.2623741552
.397	.2628070106
.398	.2632387272
.399	.2636693053
.400	.2640987484
.401	.2645270581
.402	.2649542363
.403	.2653802857
.404	.2658052073
.405	.2662290050
.406	.2666516794
.407	.2670732330
.408	.2674936688
.409	.2679129873
.410	.2683311926
.411	.2687482854
.412	.2691642686
.413	.2695791436
.414	.2699929133
.415	.2704055801
.416	.2708171461
.417	.2712276125
.418	.2716369819
.419	.2720452579
.420	.2724524415
.421	.2728585352
.422	.2732635411
.423	.2736674606
.424	.2740702975
.425	.2744720539
.426	.2748727308
.427	.2752723310
.428	.2756708572
.429	.2760683111
.430	.2764646961
.431	.2768600124
.432	.2772542641
.433	.2776474526
.434	.2780395808
.435	.2784306501
.436	.2788206634
.437	.2792096239
.438	.2795975307
.439	.2799843907
.440	.2803702014
.441	.2807549694
.442	.2811386945
.443	.2815213789
.444	.2819030267
.445	.2822836387
.446	.2826632176
.447	.2830417659
.448	.2834192851
.449	.2837957785
.450	.2841712482
.451	.2845456962
.452	.2849191254
.453	.2852915375
.454	.2856629348
.455	.2860333210
.456	.2864026966
.457	.2867710648
.458	.2871384275
.459	.2875047890
.460	.2878701484
.461	.2882345105
.462	.2885978766
.463	.2889602483
.464	.2893216300
.465	.2896820231
.466	.2900414292
.467	.2903998521
.468	.2907572922
.469	.2911137540
.470	.2914692378
.471	.2918237477
.472	.2921772849
.473	.2925298524
.474	.2928814522
.475	.2932320863
.476	.2935817584
.477	.2939304693
.478	.2942782223
.479	.2946250190
.480	.2949708633
.481	.2953157552
.482	.2956596984
.483	.2960026953
.484	.2963447489
.485	.2966858603
.486	.2970260315
.487	.2973652675
.488	.2977035664
.489	.2980409354
.490	.2983773719
.491	.2987128830
.492	.2990474673
.493	.2993811290
.494	.2997138704
.495	.3000456931
.496	.3003766004
.497	.3007065923
.498	.3010356748
.499	.3013638481
.500	.3016911142
.501	.3020174767
.502	.3023429372
.503	.3026674976
.504	.3029911607
.505	.3033139283
.506	.3036358039
.507	.3039567892
.508	.3042768863
.509	.3045960980
.510	.3049144255
.511	.3052318740
.512	.3055484416
.513	.3058641332
.514	.3061789509
.515	.3064928973
.516	.3068059734
.517	.3071181821
.518	.3074295276
.519	.3077400086
.520	.3080496303
.521	.3083583932
.522	.3086663018
.523	.3089733556
.524	.3092795580
.525	.3095849123
.526	.3098894199
.527	.3101930834
.528	.3104959044
.529	.3107978852
.530	.3110990293
.531	.3113993385
.532	.3116988138
.533	.3119974587
.534	.3122952755
.535	.3125922655
.536	.3128884309
.537	.3131837765
.538	.3134783017
.539	.3137720091
.540	.3140649027
.541	.3143569831
.542	.3146482526
.543	.3149387143
.544	.3152283696
.545	.3155172217
.546	.3158052706
.547	.3160925223
.548	.3163789764
.549	.3166646339
.550	.3169495003
.551	.3172335757
.552	.3175168627
.553	.3177993636
.554	.3180810801
.555	.3183620148
.556	.3186421716
.557	.3189215503
.558	.3192001525
.559	.3194779817
.560	.3197550419
.561	.3200313318
.562	.3203068558
.563	.3205816166
.564	.3208556132
.565	.3211288511
.566	.3214013303
.567	.3216730538
.568	.3219440238
.569	.3222142428
.570	.3224837108
.571	.3227524336
.572	.3230204097
.573	.3232876441
.574	.3235541370
.575	.3238198919
.576	.3240849096
.577	.3243491925
.578	.3246127433
.579	.3248755640
.580	.3251376559
.581	.3253990221
.582	.3256596637
.583	.3259195845
.584	.3261787842
.585	.3264372673
.586	.3266950352
.587	.3269520869
.588	.3272084277
.589	.3274640599
.590	.3277189852
.591	.3279732037
.592	.3282267194
.593	.3284795330
.594	.3287316481
.595	.3289830651
.596	.3292337875
.597	.3294838161
.598	.3297331536
.599	.3299818028
.600	.3302297633
.601	.3304770400
.602	.3307236326
.603	.3309695440
.604	.3312147764
.605	.3314593316
.606	.3317032118
.607	.3319464185
.608	.3321889528
.609	.3324308195
.610	.3326720188
.611	.3329125515
.612	.3331524208
.613	.3333916297
.614	.3336301780
.615	.3338680686
.616	.3341053047
.617	.3343418862
.618	.3345778167
.619	.3348130968
.620	.3350477285
.621	.3352817150
.622	.3355150557
.623	.3357477561
.624	.3359798148
.625	.3362112370
.626	.3364420213
.627	.3366721696
.628	.3369016870
.629	.3371305745
.630	.3373588311
.631	.3375864607
.632	.3378134654
.633	.3380398470
.634	.3382656062
.635	.3384907465
.636	.3387152692
.637	.3389391743
.638	.3391624666
.639	.3393851465
.640	.3396072161
.641	.3398286769
.642	.3400495298
.643	.3402697788
.644	.3404894243
.645	.3407084675
.646	.3409269124
.647	.3411447587
.648	.3413620079
.649	.3415786653
.650	.3417947296
.651	.3420102026
.652	.3422250861
.653	.3424393833
.654	.3426530939
.655	.3428662219
.656	.3430787685
.657	.3432907345
.658	.3435021207
.659	.3437129324
.660	.3439231679
.661	.3441328316
.662	.3443419227
.663	.3445504445
.664	.3447583983
.665	.3449657862
.666	.3451726070
.667	.3453788668
.668	.3455845667
.669	.3457897055
.670	.3459942875
.671	.3461983121
.672	.3464017835
.673	.3466047020
.674	.3468070681
.675	.3470088873
.676	.3472101559
.677	.3474108806
.678	.3476110590
.679	.3478106963
.680	.3480097917
.681	.3482083493
.682	.3484063665
.683	.3486038484
.684	.3488007961
.685	.3489972101
.686	.3491930926
.687	.3493884464
.688	.3495832717
.689	.3497775698
.690	.3499713446
.691	.3501645940
.692	.3503573225
.693	.3505495306
.694	.3507412214
.695	.3509323936
.696	.3511230514
.697	.3513131946
.698	.3515028258
.699	.3516919449
.700	.3518805574
.701	.3520686603
.702	.3522562584
.703	.3524433510
.704	.3526299414
.705	.3528160298
.706	.3530016184
.707	.3531867086
.708	.3533713005
.709	.3535553981
.710	.3537390030
.711	.3539221144
.712	.3541047343
.713	.3542868664
.714	.3544685101
.715	.3546496651
.716	.3548303379
.717	.3550105271
.718	.3551902329
.719	.3553694590
.720	.3555482061
.721	.3557264747
.722	.3559042689
.723	.3560815873
.724	.3562584323
.725	.3564348066
.726	.3566107098
.727	.3567861440
.728	.3569611103
.729	.3571356125
.730	.3573096475
.731	.3574832209
.732	.3576563323
.733	.3578289837
.734	.3580011767
.735	.3581729091
.736	.3583441891
.737	.3585150128
.738	.3586853830
.739	.3588553012
.740	.3590247682
.741	.3591937867
.742	.3593623568
.743	.3595304809
.744	.3596981593
.745	.3598653953
.746	.3600321877
.747	.3601985387
.748	.3603644510
.749	.3605299242
.750	.3606949617
.751	.3608595619
.752	.3610237289
.753	.3611874627
.754	.3613507640
.755	.3615136358
.756	.3616760781
.757	.3618380926
.758	.3619996804
.759	.3621608423
.760	.3623215820
.761	.3624818991
.762	.3626417938
.763	.3628012690
.764	.3629603256
.765	.3631189657
.766	.3632771877
.767	.3634349957
.768	.3635923912
.769	.3637493735
.770	.3639059432
.771	.3640621059
.772	.3642178576
.773	.3643732032
.774	.3645281427
.775	.3646826768
.776	.3648368083
.777	.3649905365
.778	.3651438643
.779	.3652967919
.780	.3654493203
.781	.3656014516
.782	.3657531859
.783	.3659045267
.784	.3660554729
.785	.3662060263
.786	.3663561881
.787	.3665059599
.788	.3666553421
.789	.3668043373
.790	.3669529451
.791	.3671011682
.792	.3672490050
.793	.3673964606
.794	.3675435331
.795	.3676902264
.796	.3678365380
.797	.3679824727
.798	.3681280296
.799	.3682732079
.800	.3684180143
.801	.3685624456
.802	.3687065044
.803	.3688501914
.804	.3689935073
.805	.3691364547
.806	.3692790333
.807	.3694212447
.808	.3695630908
.809	.3697045709
.810	.3698456869
.811	.3699864416
.812	.3701268334
.813	.3702668655
.814	.3704065380
.815	.3705458519
.816	.3706848092
.817	.3708234098
.818	.3709616549
.819	.3710995476
.820	.3712370859
.821	.3713742724
.822	.3715111090
.823	.3716475953
.824	.3717837336
.825	.3719195247
.826	.3720549674
.827	.3721900657
.828	.3723248193
.829	.3724592300
.830	.3725932985
.831	.3727270260
.832	.3728604112
.833	.3729934592
.834	.3731261682
.835	.3732585408
.836	.3733905759
.837	.3735222762
.838	.3736536437
.839	.3737846770
.840	.3739153777
.841	.3740457474
.842	.3741757869
.843	.3743054980
.844	.3744348808
.845	.3745639363
.846	.3746926659
.847	.3748210706
.848	.3749491504
.849	.3750769064
.850	.3752043417
.851	.3753314554
.852	.3754582483
.853	.3755847218
.854	.3757108777
.855	.3758367160
.856	.3759622379
.857	.3760874431
.858	.3762123348
.859	.3763369138
.860	.3764611792
.861	.3765851332
.862	.3767087760
.863	.3768321084
.864	.3769551336
.865	.3770778497
.866	.3772002598
.867	.3773223626
.868	.3774441602
.869	.3775656547
.870	.3776868454
.871	.3778077316
.872	.3779283191
.873	.3780486052
.874	.3781685904
.875	.3782882780
.876	.3784076682
.877	.3785267602
.878	.3786455558
.879	.3787640567
.880	.3788822641
.881	.3790001757
.882	.3791177967
.883	.3792351258
.884	.3793521638
.885	.3794689111
.886	.3795853695
.887	.3797015397
.888	.3798174229
.889	.3799330188
.890	.3800483299
.891	.3801633560
.892	.3802780985
.893	.3803925567
.894	.3805067329
.895	.3806206287
.896	.3807342430
.897	.3808475779
.898	.3809606351
.899	.3810734126
.900	.3811859123
.901	.3812981366
.902	.3814100844
.903	.3815217583
.904	.3816331582
.905	.3817442845
.906	.3818551386
.907	.3819657210
.908	.3820760324
.909	.3821860737
.910	.3822958468
.911	.3824053508
.912	.3825145885
.913	.3826235578
.914	.3827322626
.915	.3828407018
.916	.3829488759
.917	.3830567869
.918	.3831644343
.919	.3832718216
.920	.3833789454
.921	.3834858112
.922	.3835924162
.923	.3836987610
.924	.3838048489
.925	.3839106792
.926	.3840162526
.927	.3841215691
.928	.3842266326
.929	.3843314407
.930	.3844359951
.931	.3845402967
.932	.3846443476
.933	.3847481444
.934	.3848516916
.935	.3849549886
.936	.3850580386
.937	.3851608381
.938	.3852633896
.939	.3853656949
.940	.3854677541
.941	.3855695673
.942	.3856711360
.943	.3857724600
.944	.3858735414
.945	.3859743796
.946	.3860749767
.947	.3861753315
.948	.3862754463
.949	.3863753206
.950	.3864749567
.951	.3865743539
.952	.3866735147
.953	.3867724367
.954	.3868711237
.955	.3869695730
.956	.3870677890
.957	.3871657715
.958	.3872635188
.959	.3873610334
.960	.3874583151
.961	.3875553681
.962	.3876521881
.963	.3877487793
.964	.3878451400
.965	.3879412707
.966	.3880371759
.967	.3881328505
.968	.3882283003
.969	.3883235233
.970	.3884185202
.971	.3885132942
.972	.3886078430
.973	.3887021672
.974	.3887962688
.975	.3888901480
.976	.3889838065
.977	.3890772439
.978	.3891704597
.979	.3892634570
.980	.3893562364
.981	.3894487962
.982	.3895411374
.983	.3896332628
.984	.3897251698
.985	.3898168628
.986	.3899083394
.987	.3899996009
.988	.3900906497
.989	.3901814845
.990	.3902721065
.991	.3903625165
.992	.3904527154
.993	.3905427032
.994	.3906324797
.995	.3907220462
.996	.3908114059
.997	.3909005552
.998	.3909894964
.999	.3910782309
1.000	.3911667582
1.001	.3912550790
1.002	.3913431953
1.003	.3914311057
1.004	.3915188123
1.005	.3916063149
1.006	.3916936142
1.007	.3917807119
1.008	.3918676069
1.009	.3919543006
1.010	.3920407925
1.011	.3921270846
1.012	.3922131776
1.013	.3922990699
1.014	.3923847651
1.015	.3924702624
1.016	.3925555609
1.017	.3926406643
1.018	.3927255696
1.019	.3928102799
1.020	.3928947955
1.021	.3929791158
1.022	.3930632420
1.023	.3931471747
1.024	.3932309142
1.025	.3933144624
1.026	.3933978170
1.027	.3934809822
1.028	.3935639549
1.029	.3936467388
1.030	.3937293321
1.031	.3938117363
1.032	.3938939519
1.033	.3939759787
1.034	.3940578192
